1,상품명,기간,기본금리
199,Sh해양플라스틱Zero!예금,6개월,2.95
200,Sh해양플라스틱Zero!예금,7개월,2.95
201,Sh해양플라스틱Zero!예금,8개월,2.95
202,Sh해양플라스틱Zero!예금,9개월,2.95
203,Sh해양플라스틱Zero!예금,10개월,2.95
204,Sh해양플라스틱Zero!예금,11개월,2.95
205,Sh해양플라스틱Zero!예금,12개월,3.25
206,NH All100플랜 연금예금,12개월,3.1
207,스마트모아Dream정기예금,1개월,3.13
208,스마트모아Dream정기예금,2개월,3.13
209,스마트모아Dream정기예금,3개월,3.21
210,스마트모아Dream정기예금,4개월,3.21
211,스마트모아Dream정기예금,5개월,3.21
212,스마트모아Dream정기예금,6개월,3.32
213,스마트모아Dream정기예금,7개월,3.32
214,스마트모아Dream정기예금,8개월,3.32
215,스마트모아Dream정기예금,9개월,3.32
216,스마트모아Dream정기예금,10개월,3.32
217,스마트모아Dream정기예금,11개월,3.32
218,스마트모아Dream정기예금,12개월,3.32
219,1석7조통장(정기예금),12개월,3.58
220,NH왈츠회전예금II,1개월,3.05
221,NH왈츠회전예금II,2개월,3.05
222,NH왈츠회전예금II,3개월,3.3
223,NH왈츠회전예금II,4개월,3.3
224,NH왈츠회전예금II,5개월,3.3
225,NH왈츠회전예금II,6개월,3.4
226,NH왈츠회전예금II,7개월,3.4
227,NH왈츠회전예금II,8개월,3.4
228,NH왈츠회전예금II,9개월,3.4
229,NH왈츠회전예금II,10개월,3.4
230,NH왈츠회전예금II,11개월,3.4
231,NH왈츠회전예금II,12개월,3.65
232,i-ONE 놀이터예금,3개월,3.05
233,i-ONE 놀이터예금,4개월,3.05
234,i-ONE 놀이터예금,5개월,3.05
235,i-ONE 놀이터예금,6개월,3.1
236,i-ONE 놀이터예금,7개월,3.1
237,i-ONE 놀이터예금,8개월,3.1
238,i-ONE 놀이터예금,9개월,3.1
239,i-ONE 놀이터예금,10개월,3.1
240,i-ONE 놀이터예금,11개월,3.1
241,i-ONE 놀이터예금,12개월,3.25
242,BNK더조은정기예금,3개월,2.45
243,BNK더조은정기예금,4개월,2.45
244,BNK더조은정기예금,5개월,2.45
245,BNK더조은정기예금,6개월,2.7
246,BNK더조은정기예금,7개월,2.7
247,BNK더조은정기예금,8개월,2.7
248,BNK더조은정기예금,9개월,2.7
249,BNK더조은정기예금,10개월,2.7
250,BNK더조은정기예금,11개월,2.7
251,BNK더조은정기예금,12개월,3.05
252,JB 주거래 예금,1개월,2.95
253,JB 주거래 예금,2개월,2.95
254,JB 주거래 예금,3개월,2.95
255,JB 주거래 예금,4개월,2.95
256,JB 주거래 예금,5개월,2.95
257,JB 주거래 예금,6개월,2.95
258,JB 주거래 예금,7개월,2.95
259,JB 주거래 예금,8개월,2.95
260,JB 주거래 예금,9개월,2.95
261,JB 주거래 예금,10개월,2.95
262,JB 주거래 예금,11개월,2.95
263,JB 주거래 예금,12개월,2.95
264,토스뱅크 먼저 이자 받는 정기예금,3개월,3.5
265,토스뱅크 먼저 이자 받는 정기예금,6개월,3.5
266,KDB 정기예금,1개월,3.1
267,KDB 정기예금,2개월,3.15
268,KDB 정기예금,3개월,3.2
269,KDB 정기예금,4개월,3.2
270,KDB 정기예금,5개월,3.25
271,KDB 정기예금,6개월,3.5
272,KDB 정기예금,7개월,3.53
273,KDB 정기예금,8개월,3.57
274,KDB 정기예금,9개월,3.6
275,KDB 정기예금,10개월,3.63
276,KDB 정기예금,11개월,3.67
277,KDB 정기예금,12개월,3.7
278,카카오뱅크 정기예금,1개월,3
279,카카오뱅크 정기예금,2개월,3
280,카카오뱅크 정기예금,3개월,3.2
281,카카오뱅크 정기예금,4개월,3.2
282,카카오뱅크 정기예금,5개월,3.2
283,카카오뱅크 정기예금,6개월,3.3
284,카카오뱅크 정기예금,7개월,3.3
285,카카오뱅크 정기예금,8개월,3.3
286,카카오뱅크 정기예금,9개월,3.3
287,카카오뱅크 정기예금,10개월,3.3
288,카카오뱅크 정기예금,11개월,3.3
289,카카오뱅크 정기예금,12개월,3.5
290,NH내가Green초록세상예금,12개월,3.1
291,법사랑플러스예금,1개월,2.7
292,법사랑플러스예금,2개월,2.7
293,법사랑플러스예금,3개월,2.75
294,법사랑플러스예금,4개월,2.75
295,법사랑플러스예금,5개월,2.75
296,법사랑플러스예금,6개월,2.9
297,법사랑플러스예금,7개월,2.9
298,법사랑플러스예금,8개월,2.9
299,법사랑플러스예금,9개월,2.9
300,법사랑플러스예금,10개월,2.9
301,법사랑플러스예금,11개월,2.9
302,법사랑플러스예금,12개월,3.1
303,고객님 감사합니다 정기예금,3개월,2.65
304,고객님 감사합니다 정기예금,6개월,2.75
305,고객님 감사합니다 정기예금,12개월,3.05
306,JB 골든 에이지 예금,12개월,2.95
307,친환경녹색예금,1개월,1.8
308,친환경녹색예금,2개월,1.8
309,친환경녹색예금,3개월,1.92
310,친환경녹색예금,4개월,1.92
311,친환경녹색예금,5개월,1.92
312,친환경녹색예금,6개월,2.42
313,친환경녹색예금,7개월,2.42
314,친환경녹색예금,8개월,2.42
315,친환경녹색예금,9개월,2.42
316,친환경녹색예금,10개월,2.42
317,친환경녹색예금,11개월,2.42
318,친환경녹색예금,12개월,3.16
319,Sh평생주거래우대예금,12개월,3
320,Sh옳다!ALL多!정기예금,12개월,2.7
321,DGB행복파트너예금(연금형),12개월,3.34
322,자유만기회전예금,12개월,3.34
323,플러스다모아예금,1개월,3.03
324,플러스다모아예금,2개월,3.03
325,플러스다모아예금,3개월,3.11
326,플러스다모아예금,4개월,3.11
327,플러스다모아예금,5개월,3.11
328,플러스다모아예금,6개월,3.22
329,플러스다모아예금,7개월,3.22
330,플러스다모아예금,8개월,3.22
331,플러스다모아예금,9개월,3.22
332,플러스다모아예금,10개월,3.22
333,플러스다모아예금,11개월,3.22
334,플러스다모아예금,12개월,3.3
335,KB골든라이프연금우대예금,12개월,3.15
336,큰만족실세예금,1개월,2.7
337,큰만족실세예금,2개월,2.7
338,큰만족실세예금,3개월,2.75
339,큰만족실세예금,4개월,2.75
340,큰만족실세예금,5개월,2.75
341,큰만족실세예금,6개월,2.9
342,큰만족실세예금,7개월,2.9
343,큰만족실세예금,8개월,2.9
344,큰만족실세예금,9개월,2.9
345,큰만족실세예금,10개월,2.9
346,큰만족실세예금,11개월,2.9
347,큰만족실세예금,12개월,3.1
348,IBK혁신창업기업응원통장[실세금리정기예금],1개월,2.95
349,IBK혁신창업기업응원통장[실세금리정기예금],2개월,2.95
350,IBK혁신창업기업응원통장[실세금리정기예금],3개월,3
351,IBK혁신창업기업응원통장[실세금리정기예금],4개월,3
352,IBK혁신창업기업응원통장[실세금리정기예금],5개월,3
353,IBK혁신창업기업응원통장[실세금리정기예금],6개월,3.1
354,IBK혁신창업기업응원통장[실세금리정기예금],7개월,3.1
355,IBK혁신창업기업응원통장[실세금리정기예금],8개월,3.1
356,IBK혁신창업기업응원통장[실세금리정기예금],9개월,3.1
357,IBK혁신창업기업응원통장[실세금리정기예금],10개월,3.1
358,IBK혁신창업기업응원통장[실세금리정기예금],11개월,3.1
359,IBK혁신창업기업응원통장[실세금리정기예금],12개월,3.15
360,BNK내맘대로 예금,1개월,2.7
361,BNK내맘대로 예금,2개월,2.7
362,BNK내맘대로 예금,3개월,2.75
363,BNK내맘대로 예금,4개월,2.75
364,BNK내맘대로 예금,5개월,2.75
365,BNK내맘대로 예금,6개월,2.8
366,BNK내맘대로 예금,7개월,2.8
367,BNK내맘대로 예금,8개월,2.8
368,BNK내맘대로 예금,9개월,2.8
369,BNK내맘대로 예금,10개월,2.8
370,BNK내맘대로 예금,11개월,2.8
371,BNK내맘대로 예금,12개월,3.05
372,스마트 정기예금,1개월,2.1
373,스마트 정기예금,2개월,2.1
374,스마트 정기예금,3개월,2.4
375,스마트 정기예금,4개월,2.4
376,스마트 정기예금,5개월,2.4
377,스마트 정기예금,6개월,2.6
378,스마트 정기예금,7개월,2.6
379,스마트 정기예금,8개월,2.6
380,스마트 정기예금,9개월,2.6
381,스마트 정기예금,10개월,2.6
382,스마트 정기예금,11개월,2.6
383,스마트 정기예금,12개월,2.9
384,저탄소 실천 예금,3개월,2.57
385,저탄소 실천 예금,4개월,2.62
386,저탄소 실천 예금,5개월,2.62
387,저탄소 실천 예금,6개월,2.62
388,저탄소 실천 예금,7개월,2.62
389,저탄소 실천 예금,8개월,2.62
390,저탄소 실천 예금,9개월,2.62
391,저탄소 실천 예금,10개월,2.85
392,IBK회전정기예금,12개월,3.23
393,자유적립식예금,3개월,1.92
394,자유적립식예금,4개월,1.92
395,자유적립식예금,5개월,1.92
396,자유적립식예금,6개월,2.42
397,자유적립식예금,7개월,2.42
398,자유적립식예금,8개월,2.42
399,자유적립식예금,9개월,2.42
400,자유적립식예금,10개월,2.42
401,자유적립식예금,11개월,2.42
402,자유적립식예금,12개월,3.16
403,3·6·9 정기예금,12개월,3.3
404,행복knowhow 연금예금,12개월,3.3
405,홈앤세이브예금,12개월,3.2
406,IBK혁신창업기업응원통장[중소기업금융채권],12개월,3.1
407,독도사랑예금,1개월,2.55
408,독도사랑예금,2개월,2.55
409,독도사랑예금,3개월,2.65
